Found a cookie file at /afs/cern.ch/user/p/pgunnell/private/prod-cookie.txt. Make sure it's not expired!
Using sso-cookie file /afs/cern.ch/user/p/pgunnell/private/prod-cookie.txt
Dataset name                                   PrepID root request                                         Link to PrepID root request
TprimeBToTZ_M-900_LH_TuneCP5_13TeV-madgraph-pythia8    B2G-RunIIFall17wmLHEGS-00080    https://cms-pdmv.cern.ch/mcm/requests?prepid=B2G-RunIIFall17wmLHEGS-00080
TprimeBToTZ_M-1000_LH_TuneCP5_13TeV-madgraph-pythia8    B2G-RunIIFall17wmLHEGS-00081    https://cms-pdmv.cern.ch/mcm/requests?prepid=B2G-RunIIFall17wmLHEGS-00081
TprimeBToTZ_M-1100_LH_TuneCP5_13TeV-madgraph-pythia8    B2G-RunIIFall17wmLHEGS-00082    https://cms-pdmv.cern.ch/mcm/requests?prepid=B2G-RunIIFall17wmLHEGS-00082
TprimeBToTZ_M-1200_LH_TuneCP5_13TeV-madgraph-pythia8    B2G-RunIIFall17wmLHEGS-00083    https://cms-pdmv.cern.ch/mcm/requests?prepid=B2G-RunIIFall17wmLHEGS-00083
TprimeBToTZ_M-1300_LH_TuneCP5_13TeV-madgraph-pythia8    B2G-RunIIFall17wmLHEGS-00084    https://cms-pdmv.cern.ch/mcm/requests?prepid=B2G-RunIIFall17wmLHEGS-00084
TprimeBToTZ_M-1400_LH_TuneCP5_13TeV-madgraph-pythia8    B2G-RunIIFall17wmLHEGS-00085    https://cms-pdmv.cern.ch/mcm/requests?prepid=B2G-RunIIFall17wmLHEGS-00085
TprimeBToTZ_M-1700_LH_TuneCP5_13TeV-madgraph-pythia8    B2G-RunIIFall17wmLHEGS-00088    https://cms-pdmv.cern.ch/mcm/requests?prepid=B2G-RunIIFall17wmLHEGS-00088
TprimeBToTZ_M-1800_LH_TuneCP5_13TeV-madgraph-pythia8    B2G-RunIIFall17wmLHEGS-00089    https://cms-pdmv.cern.ch/mcm/requests?prepid=B2G-RunIIFall17wmLHEGS-00089
TprimeBToTZ_M-700_Width-10p_LH_TuneCP5_13TeV-madgraph-pythia8    B2G-RunIIFall17wmLHEGS-00102    https://cms-pdmv.cern.ch/mcm/requests?prepid=B2G-RunIIFall17wmLHEGS-00102
TprimeBToTZ_M-800_Width-10p_LH_TuneCP5_13TeV-madgraph-pythia8    B2G-RunIIFall17wmLHEGS-00103    https://cms-pdmv.cern.ch/mcm/requests?prepid=B2G-RunIIFall17wmLHEGS-00103
TprimeBToTZ_M-800_Width-20p_LH_TuneCP5_13TeV-madgraph-pythia8    B2G-RunIIFall17wmLHEGS-00104    https://cms-pdmv.cern.ch/mcm/requests?prepid=B2G-RunIIFall17wmLHEGS-00104
TprimeBToTZ_M-800_Width-30p_LH_TuneCP5_13TeV-madgraph-pythia8    B2G-RunIIFall17wmLHEGS-00105    https://cms-pdmv.cern.ch/mcm/requests?prepid=B2G-RunIIFall17wmLHEGS-00105
TprimeBToTZ_M-900_Width-10p_LH_TuneCP5_13TeV-madgraph-pythia8    B2G-RunIIFall17wmLHEGS-00106    https://cms-pdmv.cern.ch/mcm/requests?prepid=B2G-RunIIFall17wmLHEGS-00106
TprimeBToTZ_M-1000_Width-10p_LH_TuneCP5_13TeV-madgraph-pythia8    B2G-RunIIFall17wmLHEGS-00107    https://cms-pdmv.cern.ch/mcm/requests?prepid=B2G-RunIIFall17wmLHEGS-00107
TprimeBToTZ_M-1000_Width-20p_LH_TuneCP5_13TeV-madgraph-pythia8    B2G-RunIIFall17wmLHEGS-00108    https://cms-pdmv.cern.ch/mcm/requests?prepid=B2G-RunIIFall17wmLHEGS-00108
TprimeBToTZ_M-1000_Width-30p_LH_TuneCP5_13TeV-madgraph-pythia8    B2G-RunIIFall17wmLHEGS-00109    https://cms-pdmv.cern.ch/mcm/requests?prepid=B2G-RunIIFall17wmLHEGS-00109
TprimeBToTZ_M-1100_Width-10p_LH_TuneCP5_13TeV-madgraph-pythia8    B2G-RunIIFall17wmLHEGS-00110    https://cms-pdmv.cern.ch/mcm/requests?prepid=B2G-RunIIFall17wmLHEGS-00110
TprimeBToTZ_M-1200_Width-10p_LH_TuneCP5_13TeV-madgraph-pythia8    B2G-RunIIFall17wmLHEGS-00111    https://cms-pdmv.cern.ch/mcm/requests?prepid=B2G-RunIIFall17wmLHEGS-00111
TprimeBToTZ_M-1200_Width-20p_LH_TuneCP5_13TeV-madgraph-pythia8    B2G-RunIIFall17wmLHEGS-00112    https://cms-pdmv.cern.ch/mcm/requests?prepid=B2G-RunIIFall17wmLHEGS-00112
TprimeBToTZ_M-1200_Width-30p_LH_TuneCP5_13TeV-madgraph-pythia8    B2G-RunIIFall17wmLHEGS-00113    https://cms-pdmv.cern.ch/mcm/requests?prepid=B2G-RunIIFall17wmLHEGS-00113
TprimeBToTZ_M-1300_Width-10p_LH_TuneCP5_13TeV-madgraph-pythia8    B2G-RunIIFall17wmLHEGS-00114    https://cms-pdmv.cern.ch/mcm/requests?prepid=B2G-RunIIFall17wmLHEGS-00114
TprimeBToTZ_M-1400_Width-10p_LH_TuneCP5_13TeV-madgraph-pythia8    B2G-RunIIFall17wmLHEGS-00115    https://cms-pdmv.cern.ch/mcm/requests?prepid=B2G-RunIIFall17wmLHEGS-00115
TprimeBToTZ_M-1400_Width-20p_LH_TuneCP5_13TeV-madgraph-pythia8    B2G-RunIIFall17wmLHEGS-00116    https://cms-pdmv.cern.ch/mcm/requests?prepid=B2G-RunIIFall17wmLHEGS-00116
TprimeBToTZ_M-1400_Width-30p_LH_TuneCP5_13TeV-madgraph-pythia8    B2G-RunIIFall17wmLHEGS-00117    https://cms-pdmv.cern.ch/mcm/requests?prepid=B2G-RunIIFall17wmLHEGS-00117
TprimeBToTZ_M-1500_Width-10p_LH_TuneCP5_13TeV-madgraph-pythia8    B2G-RunIIFall17wmLHEGS-00118    https://cms-pdmv.cern.ch/mcm/requests?prepid=B2G-RunIIFall17wmLHEGS-00118
TprimeBToTZ_M-1600_Width-10p_LH_TuneCP5_13TeV-madgraph-pythia8    B2G-RunIIFall17wmLHEGS-00119    https://cms-pdmv.cern.ch/mcm/requests?prepid=B2G-RunIIFall17wmLHEGS-00119
TprimeBToTZ_M-1600_Width-20p_LH_TuneCP5_13TeV-madgraph-pythia8    B2G-RunIIFall17wmLHEGS-00120    https://cms-pdmv.cern.ch/mcm/requests?prepid=B2G-RunIIFall17wmLHEGS-00120
TprimeBToTZ_M-1600_Width-30p_LH_TuneCP5_13TeV-madgraph-pythia8    B2G-RunIIFall17wmLHEGS-00121    https://cms-pdmv.cern.ch/mcm/requests?prepid=B2G-RunIIFall17wmLHEGS-00121
TprimeBToTZ_M-1700_Width-10p_LH_TuneCP5_13TeV-madgraph-pythia8    B2G-RunIIFall17wmLHEGS-00122    https://cms-pdmv.cern.ch/mcm/requests?prepid=B2G-RunIIFall17wmLHEGS-00122
TprimeBToTZ_M-1800_Width-10p_LH_TuneCP5_13TeV-madgraph-pythia8    B2G-RunIIFall17wmLHEGS-00123    https://cms-pdmv.cern.ch/mcm/requests?prepid=B2G-RunIIFall17wmLHEGS-00123
TprimeBToTZ_M-1800_Width-20p_LH_TuneCP5_13TeV-madgraph-pythia8    B2G-RunIIFall17wmLHEGS-00124    https://cms-pdmv.cern.ch/mcm/requests?prepid=B2G-RunIIFall17wmLHEGS-00124
TprimeBToTZ_M-1800_Width-30p_LH_TuneCP5_13TeV-madgraph-pythia8    B2G-RunIIFall17wmLHEGS-00125    https://cms-pdmv.cern.ch/mcm/requests?prepid=B2G-RunIIFall17wmLHEGS-00125
TprimeBToTZ_M-1500_LH_TuneCP5_13TeV-madgraph-pythia8    B2G-RunIIFall17wmLHEGS-00086    https://cms-pdmv.cern.ch/mcm/requests?prepid=B2G-RunIIFall17wmLHEGS-00086
TprimeBToTZ_M-1600_LH_TuneCP5_13TeV-madgraph-pythia8    B2G-RunIIFall17wmLHEGS-00087    https://cms-pdmv.cern.ch/mcm/requests?prepid=B2G-RunIIFall17wmLHEGS-00087
ZToEE_NNPDF31_13TeV-powheg_M_50_120    EXO-RunIIFall17wmLHEGS-00012    https://cms-pdmv.cern.ch/mcm/requests?prepid=EXO-RunIIFall17wmLHEGS-00012
ZToEE_NNPDF31_13TeV-powheg_M_120_200    EXO-RunIIFall17wmLHEGS-00013    https://cms-pdmv.cern.ch/mcm/requests?prepid=EXO-RunIIFall17wmLHEGS-00013
ZToEE_NNPDF31_13TeV-powheg_M_200_400    EXO-RunIIFall17wmLHEGS-00014    https://cms-pdmv.cern.ch/mcm/requests?prepid=EXO-RunIIFall17wmLHEGS-00014
ZToEE_NNPDF31_13TeV-powheg_M_400_800    EXO-RunIIFall17wmLHEGS-00015    https://cms-pdmv.cern.ch/mcm/requests?prepid=EXO-RunIIFall17wmLHEGS-00015
