   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      683    0.003    0.000    0.003    0.000 <string>:1(<lambda>)
        1    0.000    0.000  198.825  198.825 <string>:1(<module>)
        1    0.000    0.000    0.000    0.000 <string>:1(AlternateWeight)
        1    0.000    0.000    0.000    0.000 <string>:1(ArgInfo)
        1    0.000    0.000    0.000    0.000 <string>:1(ArgSpec)
        1    0.000    0.000    0.000    0.000 <string>:1(Arguments)
        1    0.000    0.000    0.000    0.000 <string>:1(Attribute)
        1    0.000    0.000    0.000    0.000 <string>:1(Match)
        1    0.000    0.000    0.000    0.000 <string>:1(Mismatch)
        1    0.000    0.000    0.000    0.000 <string>:1(ModuleInfo)
        1    0.000    0.000    0.000    0.000 <string>:1(Request)
        1    0.000    0.000    0.000    0.000 <string>:1(Traceback)
        3    0.000    0.000    0.000    0.000 <string>:8(__new__)
        1    0.000    0.000    0.000    0.000 StringIO.py:30(<module>)
        1    0.000    0.000    0.000    0.000 StringIO.py:42(StringIO)
     1663    0.005    0.000    0.005    0.000 UserDict.py:103(__contains__)
     1264    0.002    0.000    0.002    0.000 UserDict.py:35(__getitem__)
        2    0.000    0.000    0.000    0.000 UserDict.py:57(items)
     1661    0.011    0.000    0.018    0.000 UserDict.py:91(get)
        1    0.000    0.000    0.000    0.000 __config__.py:3(<module>)
     4466    0.019    0.000    0.019    0.000 __init__.py:1(<lambda>)
        5    0.129    0.026    0.821    0.164 __init__.py:1(<module>)
 5155/684    0.040    0.000  107.453    0.157 __init__.py:1(allsamples)
        1    0.004    0.004    0.027    0.027 __init__.py:10(<module>)
        3    0.000    0.000    0.000    0.000 __init__.py:104(CFunctionType)
        1    0.032    0.032    0.663    0.663 __init__.py:106(<module>)
      419    0.001    0.000    0.004    0.000 __init__.py:1137(debug)
        1    0.000    0.000    0.000    0.000 __init__.py:1290(addHandler)
      419    0.001    0.000    0.001    0.000 __init__.py:1338(getEffectiveLevel)
      419    0.002    0.000    0.002    0.000 __init__.py:1352(isEnabledFor)
       14    0.000    0.000    0.000    0.000 __init__.py:147(_check_size)
        1    0.000    0.000    0.000    0.000 __init__.py:1499(basicConfig)
        1    0.039    0.039    0.066    0.066 __init__.py:15(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:159(py_object)
      419    0.003    0.000    0.008    0.000 __init__.py:1623(debug)
        1    0.000    0.000    0.000    0.000 __init__.py:168(c_short)
        1    0.000    0.000    0.000    0.000 __init__.py:172(c_ushort)
        1    0.000    0.000    0.000    0.000 __init__.py:176(c_long)
        1    0.000    0.000    0.000    0.000 __init__.py:177(_checkLevel)
        1    0.000    0.000    0.000    0.000 __init__.py:180(c_ulong)
        1    0.000    0.000    0.000    0.000 __init__.py:189(c_int)
        1    0.000    0.000    0.000    0.000 __init__.py:193(c_uint)
        6    0.001    0.000    1.147    0.191 __init__.py:193(dumps)
        1    0.000    0.000    0.000    0.000 __init__.py:197(c_float)
        1    0.000    0.000    0.000    0.000 __init__.py:201(c_double)
        3    0.000    0.000    0.000    0.000 __init__.py:205(_acquireLock)
        1    0.000    0.000    0.000    0.000 __init__.py:205(c_longdouble)
        3    0.000    0.000    0.000    0.000 __init__.py:214(_releaseLock)
        1    0.003    0.003    0.838    0.838 __init__.py:222(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:226(c_ubyte)
        1    0.016    0.016   76.920   76.920 __init__.py:23(__checkforduplicates)
        1    0.000    0.000    0.000    0.000 __init__.py:233(c_byte)
        1    0.000    0.000    0.000    0.000 __init__.py:238(c_char)
        1    0.000    0.000    0.000    0.000 __init__.py:243(c_char_p)
        1    0.000    0.000    0.000    0.000 __init__.py:255(c_void_p)
      923    0.012    0.000   29.248    0.032 __init__.py:26(<genexpr>)
        1    0.000    0.000    0.000    0.000 __init__.py:260(c_bool)
        1    0.000    0.000    0.000    0.000 __init__.py:265(_reset_cache)
        1    0.000    0.000    0.000    0.000 __init__.py:291(c_wchar_p)
        1    0.000    0.000    0.000    0.000 __init__.py:294(c_wchar)
      358    0.012    0.000    0.597    0.002 __init__.py:294(loads)
        1    0.002    0.002    0.003    0.003 __init__.py:3(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:332(CDLL)
        1    0.000    0.000    0.000    0.000 __init__.py:349(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:359(_FuncPtr)
        1    0.000    0.000    0.000    0.000 __init__.py:388(PyDLL)
        1    0.000    0.000    0.000    0.000 __init__.py:391(__init__)
        1    0.025    0.025    0.026    0.026 __init__.py:4(<module>)
        1    0.016    0.016    0.021    0.021 __init__.py:41(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:428(LibraryLoader)
        2    0.000    0.000    0.000    0.000 __init__.py:429(__init__)
        2    0.012    0.006    0.117    0.059 __init__.py:45(<module>)
      523    0.003    0.000    7.142    0.014 __init__.py:45(<setcomp>)
        1    0.000    0.000    0.000    0.000 __init__.py:49(normalize_encoding)
        3    0.000    0.000    0.000    0.000 __init__.py:493(PYFUNCTYPE)
        3    0.000    0.000    0.000    0.000 __init__.py:494(CFunctionType)
        1    0.000    0.000    0.000    0.000 __init__.py:579(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:6(<dictcomp>)
        1    0.000    0.000    0.000    0.000 __init__.py:638(_addHandlerRef)
        1    0.000    0.000    0.000    0.000 __init__.py:657(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:686(createLock)
        1    0.020    0.020    0.121    0.121 __init__.py:7(<module>)
        1    0.000    0.000    0.002    0.002 __init__.py:71(search_function)
        1    0.000    0.000    0.000    0.000 __init__.py:756(setFormatter)
        3    0.000    0.000    0.000    0.000 __init__.py:78(CFUNCTYPE)
        1    0.000    0.000    0.000    0.000 __init__.py:819(__init__)
        1    0.027    0.027    0.028    0.028 __init__.py:88(<module>)
        2    0.000    0.000    0.000    0.000 _abcoll.py:548(update)
        3    0.000    0.000    0.000    0.000 _abcoll.py:98(__subclasshook__)
        1    0.000    0.000    0.000    0.000 _datasource.py:154(DataSource)
        1    0.000    0.000    0.000    0.000 _datasource.py:35(<module>)
        1    0.000    0.000    0.000    0.000 _datasource.py:50(_FileOpeners)
        1    0.000    0.000    0.000    0.000 _datasource.py:504(Repository)
        1    0.000    0.000    0.000    0.000 _datasource.py:74(__init__)
        1    0.000    0.000    0.000    0.000 _distributor_init.py:10(<module>)
        1    0.000    0.000    0.000    0.000 _endian.py:26(_swapped_meta)
        1    0.000    0.000    0.000    0.000 _endian.py:4(<module>)
